id	filename	md5	size	state
99e8fcd5-1512-43a1-91da-8f95037b3ad0	84ade22f-c13a-4c0d-97d7-715c2af09ba1.rna_seq.augmented_star_gene_counts.tsv	6bfe5ea4239ae4b7fe7987b8dd520f52	4244525	released
df4671bc-f386-4e21-a8d6-b624c71daf2f	e990acfa-7162-4c8a-9147-111104efd490.rna_seq.augmented_star_gene_counts.tsv	e890154beb364a7dc094fcc3f0163f42	4225329	released
986b25d7-ff20-4d82-a38b-1da8b1974841	88049520-2494-4f0e-bcbe-c7a53aab6aa6.rna_seq.augmented_star_gene_counts.tsv	892895d536f6bb85ec819f7c38289041	4240414	released
616a1703-702d-4dde-a103-9bfa2a7eee96	3266aaf5-28ea-45af-9e1c-cb0d3ab3b807.rna_seq.augmented_star_gene_counts.tsv	f8d1c95e547d5f58e23f88a8aa5897a7	4219744	released
1ab14eb9-17c4-4922-bc38-e0f3126c0dad	cafeba8a-de28-40f8-b19a-af0ee8705957.rna_seq.augmented_star_gene_counts.tsv	2b18b642666738e235b970ee7911da47	4247900	released
06f35b28-be9e-4ee9-8eeb-3c107dec84d7	e2ea7b80-6949-457a-9d29-2452cd3b6ad8.rna_seq.augmented_star_gene_counts.tsv	6786be8ccd0d624d2e852059125acd62	4234603	released
3494de61-2d94-4acf-8e54-705f811a764e	3e1c728a-cf38-4ca8-9d87-0bbf098567a6.rna_seq.augmented_star_gene_counts.tsv	498e5e8ca0c1f502df1f28ff0691b2af	4218411	released
293f11c8-1d40-4ff1-84be-ca82847e1c20	6a43f966-cb2b-47ee-b0f4-c269707daa88.rna_seq.augmented_star_gene_counts.tsv	e02bcbfcf210a0c83b5d799307785758	4245412	released
852435f1-d6c4-4efa-8c27-ab27245640df	ef86558c-8a25-4bde-b139-ecf98e04ef0e.rna_seq.augmented_star_gene_counts.tsv	249abfd4aaa63910c302e5d2fb0e6baf	4229424	released
688a66a2-4c35-46c0-81c4-e3cfc762a4f8	6059e3d0-6430-4875-99df-9252a508974c.rna_seq.augmented_star_gene_counts.tsv	b095d78ed687d7fde6823d931ab4e912	4241794	released
caf4a07f-721c-42bd-8496-a9cc06f9200f	3cf35e3b-812f-4cc1-bd37-e78fd6af6dc4.rna_seq.augmented_star_gene_counts.tsv	6983e7afbf2fe71c3a8dae4d5ad5b76b	4238992	released
713980be-5929-4a1a-9a8a-ca0eba67fac5	14bc145a-8b15-42d2-bb12-d9a0f75a90f4.rna_seq.augmented_star_gene_counts.tsv	01b944158c40b6bd77e4d74101394b5c	4235789	released
e0855900-7f4b-4a49-997a-2bbd5bf4268f	350f38a2-e597-494a-a387-975814453726.rna_seq.augmented_star_gene_counts.tsv	ee5864155b4d7d00e41bc937ea0f537e	4236087	released
7054573f-31e7-4718-bfdb-a674a1f53905	a8a19765-9554-4eba-876f-c7da2199cf20.rna_seq.augmented_star_gene_counts.tsv	f5faa86ae65277afe6364e35def9c706	4232741	released
7042afe8-04ac-42d2-87ee-1ba95cf67b8a	b1f01324-d0ca-4779-9ae0-5348e2613084.rna_seq.augmented_star_gene_counts.tsv	a61f8e223c88237902bdfa19abf55426	4208336	released
27c45a4f-c722-4e5e-b5a1-ca4f915c756b	69d9a82b-5c37-45bd-a1cf-ffe1392e84fc.rna_seq.augmented_star_gene_counts.tsv	3468be187ba7f0dda531c85586555f8d	4227925	released
c4d6825d-8b46-41c5-8902-7919da14ffb9	edef6762-dd96-4284-81e6-2e128af287fa.rna_seq.augmented_star_gene_counts.tsv	cd15cbae68c098a53c736bdfce085148	4214451	released
3fa8ca20-a82b-482a-bccf-5b7b38768b4c	176e93be-1ae5-43f2-a0b5-17f31695e679.rna_seq.augmented_star_gene_counts.tsv	679d0054bc2b9e2b058d73a0cb47d8dd	4230531	released
00fb6c2d-3abc-4d05-8506-e2d951543346	4f0c3ed0-647a-422e-b771-f201f5d5d29e.rna_seq.augmented_star_gene_counts.tsv	1b606ab1048f59a2c9a0631e61e0eb0b	4249612	released
099f829c-642c-4cf8-a48d-eaf4602eb5e8	399cd50c-1439-48a4-ba3b-a0782b2b7b62.rna_seq.augmented_star_gene_counts.tsv	7d16147ec3480336269d0eba9aba7fd9	4229964	released
c73b76ac-c4fd-4896-b4cf-f73074040a34	c0ec10f4-f2d0-4a17-b2a2-3726a67de7f9.rna_seq.augmented_star_gene_counts.tsv	cea1ef48dc5112745f472c4517c53047	4229085	released
b2daff13-4bef-4182-b8ad-61fdc38b7568	4170ae68-a4d2-4095-af47-4f981f7812a4.rna_seq.augmented_star_gene_counts.tsv	8ffbabd816d641a1ce55f9b0e8bb4378	4245480	released
1e7f4af7-c5dc-4724-bd72-caedcb49dd6a	f426318a-9c1a-4476-a087-2b3a84096f5c.rna_seq.augmented_star_gene_counts.tsv	d874c5ffd76eafd8ac20140dcb257b6e	4238380	released
302aff21-ad7d-43cf-aa95-0bbf3535827f	98e3beb5-bff2-4c4e-b492-c4ed7dda9d9c.rna_seq.augmented_star_gene_counts.tsv	c244102474758e24fce4b99e1bd295b5	4229666	released
a85800db-9522-4bb5-a95e-0fa7a21f1776	a88a1582-88b8-4e7e-9baf-09279b49a492.rna_seq.augmented_star_gene_counts.tsv	cf10d4ecba13247332b69ad138a0964f	4240111	released
131c2ec9-8fe3-4b83-b638-c8c9df564509	689c3b5e-8bff-45d0-8165-b4b0e6dbf910.rna_seq.augmented_star_gene_counts.tsv	d96483113b876953625aef2d8e3dcad5	4236513	released
f79900ab-458d-4189-9544-70269dd3be82	d4cdfd13-829c-4f29-984b-5a8897437e3e.rna_seq.augmented_star_gene_counts.tsv	d14bca32e4fe766f1661e5f073715742	4241119	released
0b6bb6c7-08dd-4b78-a064-419c16b881fc	63e18642-fcf3-460b-95de-de16428dea6d.rna_seq.augmented_star_gene_counts.tsv	051e131edd20fdbac48375a03f411327	4222334	released
72e923f1-e883-4059-9ca9-819f575a010f	e5b29c06-2ed0-4913-bf24-5bfde047defc.rna_seq.augmented_star_gene_counts.tsv	f3a36481352bf02f2268be4372f0eba8	4241556	released
